wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
20%,Port/Sherry,Portugal,"This is a great aperitif Port, served with ice and with tonic. It is in a dry style, crisp and with a touch of tangy minerality as well as light acidity, boosted by the bite of spirit. Drink it now. ",Taylor Fladgate NV Chip Dry Extra Dry White  (Port),90,19,Port,Port
20%,Fortified,Portugal,"Made in a manner typical of many top Ports, this wine was partially fermented in open-top lagars before the addition of alcohol. It has power, offering sweet raisins and stewed plums along with the cut of spirit. This wine could be aged, but it is so delicious now. ",Mouchão 2012 Sobremesa Dessert Tonel Aged Alicante Bouschet (Alentejo),91,35,Alentejo,Alicante Bouschet
19.5%,Port/Sherry,Portugal,"It's exciting to see Rita Marques, winemaker of her family's winery, launching a Vintage Port. She has found 90-year-old vines and has produced a well-balanced wine, rich with raisins, dark plums and a powerful structure. It is on the sweet spectrum of Vintage Ports, opulent and set for long-term aging. Drink from 2027. ",Conceito Vinhos 2016 Vintage  (Port),92,90,Port,Port
20.5%,Port/Sherry,Portugal,"Very concentrated and with great richness, this is a real meditation wine . Its intensity and old-wood character are magnificent and pronounced while never losing sight of the rich wine behind it. It can be drunk now. ",Ramos-Pinto NV RP 30 Tawny 30 Years  (Port),94,109,Port,Port
20.5%,Port/Sherry,Portugal,"Old gold in color, this is the most complete style of aged tawny. The long barrel aging (in old barrels) has given concentration, a touch of oxidation and a wonderful spicy character. It is rich, luscious and beautifully ready to drink. ",Ramos-Pinto NV RP 20 Quinta do Bom Retiro Tawny 20 Years  (Port),94,70,Port,Port
14.5%,Red,Argentina,"A rusty color and aromas of root beer, maple and scented soap indicate that this mature Cabernet is not about fruit. Fig, chocolate and overripe base flavors end with strong suggestions of Port and Sherry. This is interesting more than anything else at this point. Drink now. ",Weinert 2006 Cabernet Sauvignon (Mendoza),87,27,Mendoza Province,Cabernet Sauvignon
20%,Dessert,US,"Dark and hearty aromas of blackberry syrup, clove, allspice and prune show on the intense nose of this cigar-perfect Port. A black plum flavor grips the palate as espresso and raisin tones emerge, proving the overall package sweet yet spicy. ",Williams Selyem 2012 Vista Verde Vineyard Port (San Benito County),91,40,California,Port
12%,White,France,"This creamy and fruity wine has a light herbal touch and citrus acidity. The elements give a ripe, crisp wine that is ready to drink. ",Les Portes de Bordeaux 2017 Sauvignon Blanc  (Bordeaux Blanc),86,6,Bordeaux,Sauvignon Blanc
20%,Port/Sherry,Portugal,"A black, firm and rich wine, this is immense and with enormous concentration. It is balanced with a strongly floral edge as well as a touch of acidity. The dark fruits give the wine richness while the tannins promise longevity. Drink this very fine wine from 2028. ",Quinta do Silval 2016 Magalhães Vintage  (Port),96,64,Port,Port
20%,Port/Sherry,Portugal,"Big tannins coupled with dark fruits have produced a powerful wine with a long-term future. The wine has a dense structure, while also having richness. This is a wine that should age very well, richly textured with minerality as well as bold black fruits. Drink from 2028. ",Quinta do Crasto 2016 Vintage  (Port),96,70,Port,Port
20%,Port/Sherry,Portugal,"This is a blend of old tawnies from the 1920s and 1930s with some from 1900. It was bottled to celebrate the company's 380th anniversary in 2018. The wine tastes old, but there is some extraordinary freshness as well. Bitter-orange marmalade comes through the old-gold wood flavors while the intense acidity is stunning. Drink now, sip by sip. ",Kopke NV CNK 380 Very Old Tawny  (Port),96,1800,Port,Port
20%,Port/Sherry,Portugal,"This is a luscious wine. Its tannins are cushioned by the ripe plum and prune fruits. That doesn't mean it is likely to develop too quickly, but is ready to take its time, bringing out the opulent character of the wine as well as its structure. Drink from 2028. ",Kopke 2016 Vintage  (Port),96,80,Port,Port
20%,Port/Sherry,Portugal,"This floral ripe wine is finely structured and has powerful concentration. Dark and firm, this is a style of relatively dry Port that will age for many years. The fruit is all there, well integrated with the spirit. Drink this dense, impressive wine from 2028. ",Andresen 2016 Vintage  (Port),96,65,Port,Port
20%,Port/Sherry,Portugal,"Densely textured with dusty tannins and full of black plum skin and prune flavors, this is a ripe, complex wine. Its sweeter character does not spoil the great structure and dry core that will allow this exemplary wine to age. Drink from 2029. ",Poças 2016 Vintage  (Port),96,100,Port,Port
20%,Port/Sherry,Portugal,"This is a juicy wine, with dense black fruits that are cut by bright acidity. The tannins give power and long-term aging potential to this impressive wine. Drink from 2028. ",Warre's 2016 Vintage  (Port),96,110,Port,Port
20%,Port/Sherry,Portugal,"This finely balanced wine is rich with tannins as well as powerful black fruits. Its mineral texture and perfumes add complexity to the ripeness of the wine. This is a wine for long-term aging, concentrated and dense with great fruits. Drink from 2029. ",Wine & Soul 2016 Pintas Vintage  (Port),97,90,Port,Port
20%,Port/Sherry,Portugal,"The wine has great swathes of black fruit at the same time as powerful tannins. That makes for a rich balanced wine, destined for long-term aging. There is a floral element that will soften and broaden out to give a satisfyingly ripe, never too sweet, wine. Drink from 2028. ",Rozes 2016 Quinta do Pégo Vintage  (Port),97,61,Port,Port
20%,Port/Sherry,Portugal,"This finely structured wine is powered by fine tannins and rich fruits. A touch of acidity comes through the rich berry flavors and the concentration of the dark tannins. This wine will certainly age, don't drink before 2028. ",W. & J. Graham's 2016 Vintage  (Port),97,150,Port,Port
20%,Port/Sherry,Portugal,"The wine is dense, packed with great fruits and tannins, dark and concentrated, and full of perfumed black fruits. It is a wine that makes a great statement of ripe fruits and tannins for long-term aging. Drink from 2028. ",Quinta do Vesuvio 2016 Capela Vintage  (Port),97,182,Port,Port
20%,Port/Sherry,Portugal,"Very floral, intense and ripe, this is a wine that is based around big black fruits as well as fine acidity. It is obviously destined for long aging with its powerful dry tannins and perfumed acidity. Drink this wine from 2028. ",Dow's 2016 Vintage  (Port),97,150,Port,Port
20%,Port/Sherry,Portugal,"This bottling brings together a fine structure with great fruit to give a luscious wine that is also destined for long-term aging. With its ripe berry flavors sustained by some acidity, this is already balanced. Drink from 2028 ",Fonseca 2016 Vintage  (Port),97,120,Port,Port
20%,Port/Sherry,Portugal,"Ripe, structured while also fruity, this intense, perfumed Port is opulent while also elegant. Its tannins and great fruit are finely integrated and are rich with potential. Black fruits, berries and a juicy aftertaste add freshness to the wine. Drink from 2028. ",Taylor Fladgate 2016 Vintage  (Port),98,120,Port,Port
20%,Port/Sherry,Portugal,"This is a ripe and fruity yet strucutred wine that has amazing aging potential. It offers a strongly floral element that contrasts with the tense, mineral texture and dense tannins. It is an immensely concentrated wine that will not be ready until 2029. ",Quinta do Noval 2016 Nacional Vintage  (Port),99,1000,Port,Port
20%,Port/Sherry,Portugal,"A beautifully balanced, rich wine, this has great tannins, a dense, firm texture and luscious blackberry fruits. It shows the structure of the vintage while also bringing a fresher element. Jammy but never cloying, this is an impressive wine for the long term. Drink from 2029. ",Barão de Vilar 2016 Maynard's Vintage  (Port),99,65,Port,Port
20%,Port/Sherry,Portugal,"This is a ripe and generous wine, with tannins that are well integrated into the powerful black-fruit core. It is rich in a black plum flavor that's cut by fine acidity. Complex, balanced and full of long-term potential, drink this impressive wine from 2029. ",Sandeman 2016 Vintage  (Port),99,118,Port,Port
20%,Port/Sherry,Portugal,"A ripe wine that has great fruit as well as tannins, this is rich and perfumed. It has a layer of minerality that brings it close to the tough schist of the Douro. At the same time, the rich fruits are generous. The potential is excellent. Drink from 2029. ",Ferreira 2016 Vintage  (Port),99,95,Port,Port
20%,Port/Sherry,Portugal,"A superbly intense wine of great concentration, this has a generous structure and abundant ripe-fruit tones. Its tannins are fully intact, promising an immensely long aging period. It's rich, but also fresh in acidity and juicy black-fruit flavors. Drink from 2029. ",W. & J. Graham's 2016 The Stone Terraces Vintage  (Port),100,230,Port,Port
20%,Port/Sherry,Portugal,"A perfumed wine, this has structure, fine tannins and a rich texture. It is full of black-currant and berry fruits as well as concentration and juicy acidity. This wine will develop gently and be ready to drink from 2027. ",Quinta do Vale Meão 2016 Vintage  (Port),94,89,Port,Port
20%,Port/Sherry,Portugal,Floral aromas lead to a ripe generously structured Port. The tannins may be firm but they are also rich bringing black-cherry fruits along with them. This is a wine with excellent potential. Drink from 2027. ,Quinta Vale Dona Maria 2016 Vintage  (Port),94,60,Port,Port
20%,Port/Sherry,Portugal,"Packed with powerful tannins, this is a dark and concentrated wine. It has sweetness as well as great ripe black fruit and a dark texture. This is a rich wine that is destined for a long aging. Drink from 2028. ",Quinta do Portal 2016 Vintage  (Port),94,70,Port,Port
20%,Port/Sherry,Portugal,"Ripe blueberry fruits are balanced by the dark tannins of this rich wine. It is a powerful statement, celebrating great fruit and rich tannins. Drink this fine wine from 2028. ",Churchill's 2016 Quinta da Gricha Vintage  (Port),94,65,Port,Port
20%,Port/Sherry,Portugal,"Full and rich, the wine has dark tannins and dense blackberry flavors. It is generous wine—juicy, perfumed and layered with impressive tannins. This is a wine with a long-term future, drink from 2028. ",Smith Woodhouse 2016 Vintage  (Port),94,82,Port,Port
20%,Port/Sherry,Portugal,The wine is beautifully balanced with ripe tannins and powerfully dense fruit. Layers of blackberry fruits are contrasted with the big tannins and perfumed acidity. There is a mineral edge to this powerful wine that will allow it to age very well. Drink from 2028. ,Rozes 2016 Vintage  (Port),94,59,Port,Port
20%,Fortified,Portugal,"This driest style of Madeira intensified all the characters of this remarkable wine. It is bone dry, with wood flavors, enormous acidity and total concentration. It is a real sipping wine, demanding attention with its intensity, lemon peel and smoky flavors. Drink now. ",Cossart Gordon 1985 Sercial Sercial (Madeira),95,235,Madeira,Sercial
19%,Fortified,Portugal,"Malmsey is the old English name for Malvasia grapes, which produce a supersweet style of Madeira. Toffee, caramel and dried fruits are shot through with acidity. This is a beautiful wine, aged in wood since the harvest, and ready to drink. ",Blandy's 1977 Malmsey Malvasia (Madeira),95,310,Madeira,Malvasia
20%,Port/Sherry,Portugal,"This balanced wine is sumptuous with ripe fruit while also being seriously structured. It is packed with ripe berry flavors that are lifted by the acidity and filled out with tannins. This wine with its perfumed, mineral edge should age well. Drink from 2028. ",Quinta do Mourão 2016 São Leonardo Vintage  (Port),95,120,Port,Port
20%,Port/Sherry,Portugal,"While the wine is floral, its perfumed fruits are seriously balanced by the dark and ripe tannins. It has a strongly mineral edge that goes with great black-currant fruit that give an edge of freshness to this otherwise dark, powerful wine. Drink from 2027. ",Lima Smith 2016 Tecedeiras Vintage  (Port),95,69,Port,Port
